Strain;ID;Cu_i;ABS;res_Cu;Cu_f_mg_l;preciptated_copper_mg_l;perc_decrease
JRL_18;standard;2;0.06766666;;;;
JRL_19;standard;2;0.10166667;;;;
JRL_19;S0 A ;0;0.005;0.0983606525127655;0.196721305025531;-0.196721305025531;
JRL_19;S0 B ;0;0.006;0.118032783015319;0.236065566030637;-0.236065566030637;
JRL_19;S0 C;0;0.003;0.0590163915076593;0.118032783015319;-0.118032783015319;
JRL_19;S1 A;2;0.026;0.511475393066381;1.02295078613276;0.977049213867239;48.8524606933619
JRL_19;S1 B;2;0.055;1.08196717764042;2.16393435528084;-0.163934355280841;-8.19671776404205
JRL_19;S1 C;2;0.023;0.452459001558721;0.904918003117443;1.09508199688256;54.7540998441279
JRL_19;S2 A;4;0.057;1.12131143864553;2.24262287729105;1.75737712270895;43.9344280677237
JRL_19;S2 B;4;0.057;1.12131143864553;2.24262287729105;1.75737712270895;43.9344280677237
JRL_19;S2 C;4;0.062;1.21967209115829;2.43934418231658;1.56065581768342;39.0163954420854
JRL_19;S3 A;6;0.083;1.63278683171191;3.26557366342381;2.73442633657619;45.5737722762698
JRL_19;S3 B;6;0.095;1.86885239774254;3.73770479548509;2.26229520451491;37.7049200752485
JRL_19;S3 C;6;0.092;1.80983600623489;3.61967201246977;2.38032798753023;39.6721331255038
JRL_19;S4 A;8;0.105;2.06557370276808;4.13114740553615;3.86885259446385;48.3606574307981
JRL_19;S4 B;8;0.126;2.47868844332169;4.95737688664338;3.04262311335662;38.0327889169577
JRL_19;S4 C;8;0.114;2.24262287729105;4.48524575458211;3.51475424541789;43.9344280677237
JRL_19;S5 A;10;0.123;2.41967205181403;4.83934410362806;5.16065589637194;51.6065589637194
JRL_19;S5 B;10;0.163;3.20655727191616;6.41311454383231;3.58688545616769;35.8688545616769
JRL_19;S5 C;10;0.144;2.83278679236765;5.66557358473529;4.33442641526471;43.3442641526471
JRL_18;Sterlity;2;0.06;1.773399189;3.546798379;;
JRL_18;Sterlity;4;0.094;2.778325397;5.556650794;;
JRL_18;Sterlity;8;0.105;3.103448582;6.206897163;;
JRL_18;Sterlity;10;0.188;5.556650794;11.11330159;;
JRL_18;S0 A ;0;-0.004;-0.118226613;-0.236453225;0.236453225;
JRL_18;S0 B ;0;-0.004;-0.118226613;-0.236453225;0.236453225;
JRL_18;S0 C;0;0.027;0.798029635;1.596059271;-1.596059271;
JRL_18;S1 A;2;0.022;0.650246369;1.300492739;0.699507261;34.97536305
JRL_18;S1 B;2;0.022;0.650246369;1.300492739;0.699507261;34.97536305
JRL_18;S1 C;2;0.027;0.798029635;1.596059271;0.403940729;20.19703645
JRL_18;S2 A;4;0.072;2.128079027;4.256158055;-0.256158055;-6.403951375
JRL_18;S2 B;4;0.085;2.512315518;5.024631037;-1.024631037;-25.61577593
JRL_18;S2 C;4;0.064;1.891625802;3.783251604;0.216748396;5.4187099
JRL_18;S3 A;6;0.11;3.251231847;6.502463695;-0.502463695;-8.374394917
JRL_18;S3 B;6;0.1;2.955665316;5.911330632;0.088669368;1.4778228
JRL_18;S3 C;6;0.106;3.133005235;6.26601047;-0.26601047;-4.433507833
JRL_18;S4 A;8;0.138;4.078818136;8.157636272;-0.157636272;-1.9704534
JRL_18;S4 B;8;0.181;5.349754222;10.69950844;-2.699508443;-33.74385554
JRL_18;S4 C;8;0.122;3.605911685;7.211823371;0.788176629;9.852207863
JRL_18;S5 A;10;0.112;3.310345154;6.620690307;3.379309693;33.79309693
JRL_18;S5 B;10;0.144;4.256158055;8.51231611;1.48768389;14.8768389
JRL_18;S5 C;10;0.15;4.433497974;8.866995947;1.133004053;11.33004053
